bred_for,breed_group,country_code,country_codes,description,history,id,image_url,imperial_height,imperial_weight,life_span,metric_height,metric_weight,name,origin,perfect_for,species_id,temperament
,Herding,BE,BE,"Large, powerfully built herding dog with a rugged appearance and rough, tousled double coat. This compact breed gives the impression of great strength without heaviness and has a dense weather-resistant coat suited for farm work.","Developed by monks in the Flanders region of medieval Europe as cattle herding and all-purpose farm dog. Used to drive cattle, pull carts, and serve as a watchdog. Nearly extinct after World War I but revived by dedicated breeders.",54,https://storage.googleapis.com/dog-api-uploads-prod/originals/be25309f-6190-40c9-b5b5-02630f873592.png,Male: 24.5-27.5; Female: 23.5-26.5,70-110,10-12,Male: 62-70; Female: 60-67,32-50,Bouvier des Flandres,Belgium (Flanders region),,2,"Loyal, intelligent, protective, courageous, calm, gentle"
,Working,DE,DE,"Medium to large, powerful and athletic working dog with a distinctive short-muzzled, flat face and short coat. Known for their fun-loving, bright temperament and expressive face, combining energy with loyalty.","Developed in late 19th century Germany from the now-extinct German Bullenbeisser (used for hunting large game like boar and bear) and English Bulldog, originally for bull-baiting and hunting, later refined for working and companion roles",55,https://cdn4.thedogapi.com/optimized/uFPUHEvbID.jpg,Male: 23-25; Female: 21.5-23.5,Male: 65-80; Female: 50-65,10-12,Male: 58-64; Female: 55-60,Male: 29-36; Female: 23-29,Boxer,Germany,,2,"Playful, energetic, loyal, intelligent, friendly, alert"
,Sporting,US,US,"Medium-sized, energetic, and versatile flushing and retrieving spaniel with rich liver or chocolate brown coat and enthusiastic work ethic, especially in water. Known for their amiable disposition and compact build ideal for hunting from small boats.","Developed in early 1900s in South Carolina by L. Whitaker Boykin. Foundation sire was a small stray spaniel-type dog named 'Dumpy' who showed great hunting aptitude. Bred by crossing Chesapeake Bay Retrievers, Springer Spaniels, Cocker Spaniels, and American Water Spaniels for hunting in South Carolina swamps, particularly the Wateree River Swamp. Recognized as the state dog of South Carolina.",56,https://cdn4.thedogapi.com/optimized/i3VwMxfPgP.jpg,Male: 15.5-18; Female: 14-16.5,Male: 30-40; Female: 25-35,10-15,Male: 39-46; Female: 36-42,Male: 14-18; Female: 11-16,Boykin Spaniel,"South Carolina, United States",,2,"Friendly, energetic, eager to please, intelligent, adaptable"
,Sporting,IT,IT,"Large, noble Italian pointing breed with sculpted head, distinctive orange and white or chestnut and white coat, and pendulous ears. A powerful and athletic dog of ancient Italian lineage, known for its endurance and gentle, intelligent nature.","One of the oldest pointing breeds in Europe with ancient origins dating back to the 4th-5th century BC. Developed as a versatile hunting dog for bird hunting in Italian terrain, adept at pointing and retrieving. The modern breed is thought to be a cross of the Piedmontese Pointer and the Lombard Pointer.",57,https://cdn4.thedogapi.com/optimized/Sewp0Ubej3.jpg,Male: 23-26; Female: 21.5-24.5,55-88,10-14,Male: 58-67; Female: 55-62,25-40,Bracco Italiano,Italy,,2,"Gentle, intelligent, affectionate, loyal, calm, docile, adaptable"
,Herding,FR,FR,"Large, powerful French herding dog with a luxurious long wavy double coat, distinctive beard and eyebrows creating a peek-a-boo hairdo, and a loyal, intelligent disposition","Ancient French herding breed developed for centuries to herd and guard flocks. Served as sentries, messengers, and pack animals for the French army during World War I. Nearly extinct after World War II but successfully revived. Recognized by the AKC in 1928.",58,https://cdn4.thedogapi.com/optimized/QHeak9hrOm.jpg,Male: 23-27; Female: 22-25.5,Male: 70-100; Female: 50-65,10-12,Male: 58-69; Female: 56-65,Male: 32-45; Female: 23-29,Briard,France,,2,"Loyal, intelligent, protective, confident, courageous, devoted"
,Sporting,FR,FR,"Medium-sized, compact and leggy sporting dog with an athletic build and distinctive orange and white feathered coat. Known for its versatility in pointing and retrieving, this agile gundog combines high energy for hunting and field work with an intelligent and happy-go-lucky disposition.",Developed in the 17th-18th century in the Brittany province of France as a versatile hunting dog capable of pointing and retrieving on various terrain. Refined through crosses with English Setters and recognized by AKC in 1934.,59,https://storage.googleapis.com/dog-api-uploads-prod/originals/7d55f697-6879-4616-af9d-668aa3226289.jpeg,17.5-20.5,30-40,12-15,44-52,14-18,Brittany,"Brittany (Bretagne), France",,2,"Intelligent, energetic, eager to please, friendly, athletic, happy"
,Working,GB,GB,"Large, powerful guardian breed with short coat and calm, confident demeanor, originally bred to guard estates and known as 'The Gamekeeper's Night-Dog'",Developed in mid-19th century England by gamekeepers crossing English Mastiff with Old English Bulldog to create an effective estate guard dog for tracking poachers,64,https://cdn4.thedogapi.com/optimized/QdwFluBnbf.jpg,Male: 25-27; Female: 24-26,Male: 110-130; Female: 100-120,7-9,Male: 64-69; Female: 61-66,Male: 50-59; Female: 45-54,Bullmastiff,England,,2,"Loyal, protective, calm, courageous, affectionate, confident"
,Terrier,GB,GB,"A muscular, well-built terrier best known for its distinctive long, egg-shaped head that slopes down to the nose. This confident breed combines a playful, mischievous personality with a courageous temperament.","Developed in 19th-century England by crossing old English Bulldogs with various terriers, originally for bull-baiting and dog fighting. James Hinks is credited with standardizing the breed and creating the distinctive egg-shaped head, earning them the nickname 'The White Cavalier'.",61,https://storage.googleapis.com/dog-api-uploads-prod/originals/19be57ef-e967-4330-81f3-83a7c1ac809c.jpeg,21-22,50-70,12-13,53-56,23-32,Bull Terrier,England,,2,"Playful, courageous, energetic, loyal, mischievous"
,Terrier,GB,GB,"Small, upstanding, and muscular terrier with a distinctive egg-shaped head and triangular eyes. This compact version of the Bull Terrier is known for being comical, mischievous, and lively with a squarely built frame.","Developed in 19th-century England as a scaled-down version of the standard Bull Terrier, which was standardized by James Hinks. Created for fanciers who wanted a smaller companion version while maintaining the same characteristics and recognized as a separate breed by the AKC in 1991.",62,https://storage.googleapis.com/dog-api-uploads-prod/originals/bac74252-a536-4cd7-bf5f-2db7a7690c97.jpeg,10-14,20-33,11-13,25-36,9-15,Bull Terrier (Miniature),England,,2,"Playful, energetic, courageous, confident, affectionate, outgoing"
,Terrier,GB,GB,"A small, sturdy working terrier with weather-resistant shaggy coat and alert expression, originating from the Scottish Highlands and known for its plucky, cheerful nature","Developed on the Isle of Skye in Scotland, one of the oldest terrier breeds. Originally used by farmers in the Scottish Highlands to hunt and flush out foxes and vermin from rock piles (cairns), which gave the breed its name. Recognized by the AKC in 1913.",65,https://cdn4.thedogapi.com/optimized/AEtWWjCcLL.jpg,Male: 10-11; Female: 9.5-10.5,Male: 14-16; Female: 13-15,,Male: 25-28; Female: 24-27,Male: 6-7.5; Female: 6-7,Cairn Terrier,Scotland,,2,"Alert, confident, friendly, intelligent, courageous, energetic"
,Working,IT,IT,"Large, powerful Italian mastiff-type dog with muscular, athletic build and confident demeanor. This intelligent and majestic breed was historically used as a guardian and hunter, known for its loyalty to family.","Ancient Italian breed descended from Roman Molossian war dogs, developed as a versatile farmhand, guardian, and hunter of large game. The breed nearly faced extinction but was revived by enthusiasts in the 1970s.",67,https://storage.googleapis.com/dog-api-uploads-prod/originals/10d8fcaf-a0dd-4988-9e69-54002e3c4f83.png,Male: 25-27.5; Female: 23.5-26,Male: 99-110; Female: 88-99,9-12,Male: 64-70; Female: 60-66,Male: 45-50; Female: 40-45,Cane Corso,Italy,,2,"Confident, protective, intelligent, loyal, affectionate"
,Herding,GB,GB,"Low-set, sturdily built herding dog with a long body, fox-like brushy tail, and rounded ears, known for intelligence and versatility","One of the oldest herding breeds, believed brought to Wales by Celtic tribes around 1200 BC, developed as versatile farm dogs for cattle herding and property guarding",68,https://storage.googleapis.com/dog-api-uploads-prod/originals/3c664674-c538-4c15-bab4-6ae3096dbcfb.png,10.5-12.5,Male: 30-38; Female: 25-34,12-15,27-32,Male: 14-17; Female: 11-15,Cardigan Welsh Corgi,"Cardiganshire, Wales",,2,"Affectionate, loyal, intelligent, alert, adaptable"
,Herding,US,US,"Medium to large, athletic herding and hunting breed known for its distinctive spotted or merle coat patterns, striking heterochromatic (glass) eyes, and strong work ethic. This versatile working dog combines intelligence with independence.",Developed in Northern Louisiana from Native American dogs crossed with Spanish and French settlers' dogs for hunting feral hogs and herding cattle. Named after Catahoula Parish and designated as the official state dog of Louisiana.,69,https://cdn4.thedogapi.com/optimized/Q1BZEKatoN.jpg,Male: 22-26; Female: 20-24,Male: 65-90; Female: 50-65,10-14,Male: 56-66; Female: 51-61,Male: 29-41; Female: 23-29,Catahoula Leopard Dog,"Louisiana, United States",,2,"Independent, intelligent, loyal, protective, energetic, work-focused"
,Working,RU,RU,"Massive, powerful livestock guardian breed with thick, weather-resistant double coat, originally bred to protect flocks from large predators like wolves and bears in the Caucasus Mountains. This formidable guardian combines strong protective instincts with courageous temperament.","Ancient breed developed in the Caucasus Mountain region to protect flocks from large predators like wolves and bears, as well as human thieves. Selectively bred by shepherds for protection ability, later utilized by the Soviet Union as military and prison guard dogs",70,https://cdn4.thedogapi.com/optimized/N9DEB8FyHi.jpg,Male: 27-30; Female: 25-28,Male: 110-170; Female: 99-150,10-12,Male: 68-76; Female: 64-71,Male: 50-77; Female: 45-68,Caucasian Shepherd Dog,Caucasus Mountains,,2,"Protective, independent, confident, courageous, alert"
,Toy,GB,GB,"Small, elegant toy spaniel with silky coat, large expressive eyes, and noble appearance, known for its gentle expression and affectionate temperament, equally at home as a lap dog or active companion","Named after King Charles II who favored the breed, descended from toy spaniels depicted in 16th-18th century British court paintings. The modern breed was revived in the 1920s by enthusiasts seeking to restore the longer-nosed type seen in old portraits",71,https://cdn4.thedogapi.com/optimized/fM3yF6cLB1.jpg,12-13,13-18,12-15,30-33,6-8,Cavalier King Charles Spaniel,United Kingdom,,2,"Affectionate, gentle, friendly, playful, eager to please, adaptable"
,Sporting,US,US,"A powerful, muscular gundog with distinctive wavy, waterproof double coat and amber eyes, bred for retrieving waterfowl in the harsh conditions of the Chesapeake Bay",Developed in the 19th century along the Chesapeake Bay from two shipwrecked Newfoundland-type puppies (Sailor and Canton) bred with local retrievers to create a water gundog capable of withstanding icy conditions and retrieving waterfowl in harsh environments,76,https://cdn4.thedogapi.com/optimized/MLiMZc2OS4.jpg,Male: 23-26; Female: 21-24,Male: 65-80; Female: 55-70,10-13,Male: 58-66; Female: 53-61,Male: 29-36; Female: 25-32,Chesapeake Bay Retriever,"Maryland, United States",,2,"Intelligent, courageous, loyal, protective, confident"
,Toy,CN,CN,"Small, elegant toy dog with fine-boned build that comes in two distinctive varieties: the Hairless with soft skin and tufts of hair, and the Powderpuff with a soft, straight double coat",Ancient breed believed to have descended from African or Mexican hairless dogs and refined in China. Chinese mariners kept them on ships to hunt vermin and traded them among port cities worldwide. Served as companions to Chinese nobility and were believed to possess magical healing powers,78,https://cdn4.thedogapi.com/optimized/EmZBU7gxxa.jpg,11-13,8-12,,28-33,3.6-5.4,Chinese Crested,China,,2,"Affectionate, alert, playful, lively, intelligent, gentle"
,Non-Sporting,CN,CN,"An ancient Chinese breed known for its distinctive deep wrinkles, hippopotamus-like muzzle, blue-black tongue, and compact, medium-sized build with a calm, independent temperament","Ancient Chinese breed from southern provinces dating back to the Han Dynasty, originally used as all-purpose farm dog for hunting, herding, guarding, and farm work. Nearly extinct in mid-20th century but revived from very small population by dedicated breeders in 1970s",79,https://cdn4.thedogapi.com/optimized/Rrs2lVEQHq.jpg,18-20,45-60,8-12,46-51,20-27,Chinese Shar-Pei,China,,2,"Loyal, independent, calm, alert, protective, intelligent"
,Working,US,US,"Large, athletic American sled dog with distinctive tawny double coat, known for combining strength, endurance, and a calm, gentle temperament. This versatile working breed was developed for drafting and sled-dog racing in New England conditions.","Developed in the early 20th century by polar explorer Arthur Treadwell Walden by crossing Mastiff-type dogs with Huskies and Belgian Shepherds. Named after the foundation male 'Chinook', bred to be an ideal sled dog for New England conditions. Recognized by the AKC in 2013.",80,https://cdn4.thedogapi.com/optimized/LtHPr7ay0L.jpg,Male: 23-26; Female: 21-25,Male: 55-90; Female: 50-70,12-15,Male: 58-66; Female: 53-64,Male: 25-41; Female: 23-32,Chinook,"New Hampshire, United States",,2,"Intelligent, calm, devoted, friendly, eager to please"
,Non-Sporting,CN,CN,"An ancient, powerful, and sturdily built dog of Arctic spitz-type, known for its distinctive lion-like mane, unique blue-black tongue, stilted gait, and dense double coat","One of the oldest recognizable breeds with origins dating back over 2,000 years in northern China, where it served as hunting, herding, guarding, and companion dog. Refined during Tang Dynasty and recognized by AKC in 1903.",81,https://cdn4.thedogapi.com/optimized/XSu9Ht84DA.jpg,17-20,45-70,8-12,43-51,20-32,Chow Chow,China,,2,"Loyal, independent, aloof, alert, calm, protective"
,Sporting,GB,GB,"A long, low, and substantial flushing spaniel with a massive head, heavy bone structure, pensive expression, and predominantly white coat with lemon or orange markings","Developed in the 18th century, associated with the French Duc de Noailles and Duke of Newcastle's Clumber Park estate in Nottinghamshire. Likely developed from Alpine Spaniel, Basset Hound crosses. Prized by British royalty and nobility as gentleman's hunting spaniels for game flushing",84,https://cdn4.thedogapi.com/optimized/M5cp3u9VBx.jpg,Male: 17-20; Female: 17-19,Male: 70-85; Female: 55-70,10-12,Male: 43-51; Female: 43-48,Male: 32-39; Female: 25-32,Clumber Spaniel,England,,2,"Gentle, loyal, calm, intelligent, playful"
,Sporting,US,US,"Compact sporting breed with silky coat, merry expression, and affectionate nature","Descended from English Cocker Spaniels, developed in the US for smaller size and specialized for woodcock hunting; officially recognized as a distinct breed by the AKC in 1946",86,https://cdn4.thedogapi.com/optimized/OIR28n2ihA.jpg,Male: 13.5-15.5; Female: 12.5-14.5,Male: 25-30; Female: 20-25,10-14,Male: 34-39; Female: 32-37,Male: 11-14; Female: 9-11,Cocker Spaniel,United States,,2,"Friendly, affectionate, playful, intelligent, outgoing"
,Non-Sporting,MG,MG,"Small companion dog with soft cotton-like white coat, charming personality and cheerful temperament","Originated as royal dog and companion to nobles in Madagascar, developed from small white dogs brought by traders. Named for city of Tuléar and recognized by FCI and AKC as beloved adaptable companion breed",89,https://cdn4.thedogapi.com/optimized/mFiuFIyvhH.jpg,Male: 10-11; Female: 9-10,Male: 9-15; Female: 8-13,,Male: 25-28; Female: 23-25,Male: 4-7; Female: 3.5-6,Coton de Tulear,Madagascar,,2,"Happy, playful, affectionate, alert, friendly, intelligent, adaptable"
,Non-Sporting,HR,HR,"Medium-sized, athletic dog with distinctive black or liver spotted white coat and elegant build, originally bred as a carriage dog with exceptional endurance","Ancient breed with roots in Dalmatia, Croatia, originally bred as carriage dogs to run for miles alongside horse-drawn coaches, guarding horses and coaches. Also served as circus performers and iconic firehouse mascots, particularly associated with American fire departments. Recognized by AKC in 1888.",92,https://cdn4.thedogapi.com/optimized/ACDtQWVRBr.jpg,Male: 23-24; Female: 22-23,Male: 55-70; Female: 45-60,11-13,Male: 58-61; Female: 56-58,Male: 25-32; Female: 20-27,Dalmatian,"Dalmatia, Croatia",,2,"Energetic, outgoing, intelligent, alert, athletic"
,Working,DE,DE,"Medium-large, sleek, athletic and powerful dog known for exceptional loyalty and intelligence. This elegant working breed combines strength with agility and has a confident, alert demeanor.","Created in late 19th century by Karl Friedrich Louis Dobermann using breeds such as the Rottweiler, German Pinscher, and others for protection and companionship",94,https://cdn4.thedogapi.com/optimized/yy1nVxX1TD.jpg,Male: 26-28; Female: 24-26,Male: 75-100; Female: 60-90,10-12,Male: 66-71; Female: 61-66,Male: 34-45; Female: 27-41,Doberman Pinscher,Germany,,2,"Intelligent, alert, loyal, energetic, confident"
,Working,AR,AR,"Large, powerful, all-white mastiff-type dog with massive head and athletic build, originally developed for big-game hunting with exceptional courage and strength","Developed in Argentina in the 1920s by Dr. Antonio Nores Martinez who systematically crossed the now-extinct Cordoba Fighting Dog with Great Dane, Boxer, Bull Terrier, and Pointer to create a versatile big-game hunter for wild boar and puma",95,https://cdn4.thedogapi.com/optimized/TKneriCOWC.jpg,Male: 24-26.5; Female: 24-25.5,Male: 88-100; Female: 88-95,9-15,Male: 61-67; Female: 61-65,Male: 40-45; Female: 40-43,Dogo Argentino,Argentina,,2,"Courageous, loyal, protective, confident, intelligent, energetic"
,Herding,NL,NL,"Medium-sized herding dog with athletic, muscular build and distinctive brindle coat pattern. An intelligent, versatile, and work-focused breed of Dutch origin that served as an all-purpose farm dog.","Developed in the Netherlands as an all-purpose farm dog for herding sheep and cattle, cart-pulling, and guarding. Nearly extinct after WWII but preserved through dedicated breeding efforts. Known for its brindle coat in three varieties: short, long, and wire-haired.",98,https://cdn4.thedogapi.com/optimized/GxmoWNpZqN.jpg,Male: 22.5-25; Female: 21.5-24,Male: 50-75; Female: 42-65,11-14,Male: 57-64; Female: 55-61,Male: 23-34; Female: 19-30,Dutch Shepherd,Netherlands,,2,"Intelligent, loyal, alert, energetic, athletic, work-focused, independent"
,Sporting,GB,GB,"Elegant and athletic gundog distinguished by its unique speckled (belton) coat, feathered markings, and graceful movement, known for gentle hunting instincts and friendly disposition","Developed in England over 400 years ago from spaniel stock, refined in the 19th century by Edward Laverack and R. Purcell Llewellin to create a specialized bird dog for locating and setting game birds",101,https://cdn4.thedogapi.com/optimized/DaCvmFBDVI.jpg,Male: 25-27; Female: 23-25,Male: 65-80; Female: 45-70,12-14,Male: 64-69; Female: 58-64,Male: 29-36; Female: 20-32,English Setter,England,,2,"Friendly, gentle, affectionate, intelligent, energetic"
,Herding,US,US,"Exceptionally intelligent and versatile medium-sized herding dog with a dense double coat and strong work ethic, developed as an all-purpose farm dog with devotion to family and adaptable temperament","Developed in the United States from British and Scottish collie-type farm dogs brought by early settlers, bred as versatile all-purpose farm dogs for herding livestock, guarding property, and hunting vermin",102,https://cdn4.thedogapi.com/optimized/cb5ROjCCNf.jpg,Male: 19-23; Female: 18-22,Male: 45-60; Female: 35-50,12-15,Male: 48-58; Female: 46-56,Male: 20-27; Female: 16-23,English Shepherd,United States,,2,"Intelligent, loyal, energetic, alert, devoted, adaptable"
,Sporting,GB,GB,"Medium-sized athletic sporting dog with long ears, feathered silky coat, and enthusiastic, eager-to-please personality. Known for their compact body, gentle intelligent expression, and versatile gundog abilities.","Developed in 19th century England as a versatile gundog to find and 'spring' game for the net, falcon, or gun. Originally separated from smaller 'cocker' spaniels by size and hunting use. Officially recognized by The Kennel Club in 1902 and AKC in 1910.",103,https://cdn4.thedogapi.com/optimized/AT2BZ19dCG.jpg,Male: 19-21; Female: 18-20,Male: 45-55; Female: 35-50,12-14,Male: 48-53; Female: 46-51,Male: 20-25; Female: 16-23,English Springer Spaniel,England,,2,"Friendly, intelligent, energetic, eager to please, playful"
,Toy,GB,GB,"Small, elegant black and tan terrier with fine-boned build and distinctive pointed, candle-flame ears","Descended from the Old English Black and Tan Terrier, bred as a ratter in Victorian England and now a rare companion breed. Recognized by The Kennel Club (UK).",105,https://cdn4.thedogapi.com/optimized/gS4U8SIVh6.jpg,10-12,6-8,12-13,25-30,2.7-3.6,English Toy Terrier (Black & Tan),England,,2,"Alert, intelligent, loyal, playful"
,Non-Sporting,DE,DE,"Medium-sized Spitz-type dog with balanced proportions and thick, plush double coat that comes in a variety of colors. Known for its calm, devoted nature and confident temperament.","Developed in Germany in the 1960s by Julius Wipfel by crossing Chow Chow, Wolfspitz (Keeshond), and Samoyed to create an ideal Spitz-type family companion dog. Recognized by the FCI.",107,https://cdn4.thedogapi.com/optimized/hZkMlKOLPl.jpg,Male: 20.5-23.5; Female: 19-22,Male: 51-71; Female: 40-57,12-14,Male: 52-60; Female: 48-56,Male: 23-32; Female: 18-26,Eurasier,Germany,,2,"Calm, confident, loyal, intelligent, gentle, reserved"
,Sporting,GB,GB,"Medium-sized sporting dog with silky, glossy coat in black, liver, or roan colors, built for endurance and agility in the field with an adaptable, noble temperament","Developed in England during the late 19th century from Cocker Spaniels and other spaniel varieties, initially for show but later redeveloped for field work. The breed faced near extinction after World War II but was revived by dedicated breeders.",108,https://cdn4.thedogapi.com/optimized/Be3GbWbcKe.jpg,17-18,35-50,12-13,43-46,16-23,Field Spaniel,England,,2,"Docile, intelligent, affectionate, gentle, sensitive"
,Herding,FI,FI,"Medium-sized, sturdy spitz-type dog with a thick profuse double coat and fox-like features, originally bred for herding reindeer in arctic conditions by the Sami people","Ancient spitz breed developed by the indigenous Sami people of Lapland to herd and guard reindeer in Arctic conditions. Nearly extinct after WWII but successfully restored by dedicated Finnish breeders, officially recognized by Finnish Kennel Club in 1945",110,https://cdn4.thedogapi.com/optimized/iYYvYN0MXl.jpg,Male: 18-21; Female: 16-19,33-53,12-15,Male: 46-53; Female: 41-49,15-24,Finnish Lapphund,Lapland (Finland),,2,"Friendly, alert, intelligent, calm, courageous, loyal, adaptable"
,Non-Sporting,FI,FI,"Medium-sized fox-like spitz hunting dog with dense golden-red double coat, erect ears, curled plumed tail, and alert expression. Known as Finland's national dog and called the 'barking pointer' for their distinctive hunting style.","Ancient Finnish breed developed through centuries of selective breeding to hunt all types of game from squirrels to bears. Nearly extinct in late 1800s before restoration efforts. Became Finland's national dog in 1979, bred specifically for barking ability and stamina in harsh climates.",111,https://cdn4.thedogapi.com/optimized/0nn8e8rJH2.jpg,Male: 17.5-20; Female: 15.5-18,Male: 25-33; Female: 20-28,12-15,Male: 44.5-51; Female: 39-46,Male: 11-15; Female: 9-13,Finnish Spitz,Finland,,2,"Friendly, alert, intelligent, independent, playful, courageous"
,Non-Sporting,FR,FR,"Small, compact muscular companion dog known for its distinctive large bat-like ears, flat smooshed face, and short smooth coat. Originally developed as a beloved companion breed with a playful, alert disposition.",Developed in 19th century France when English lacemakers brought Toy Bulldogs to France and crossed them with local French ratters becoming highly fashionable in Parisian society,113,https://cdn4.thedogapi.com/optimized/Rvl1BeqaRB.jpg,11-13,16-28,10-12,28-33,7-13,French Bulldog,France,,2,"Affectionate, playful, alert, adaptable, smart"
,Working,DE,DE,"Medium-sized, well-muscled working dog with elegant, athletic build and smooth coat. Known for its high-spirited, alert, and confident demeanor, this is one of Germany's oldest breeds.","Ancient German breed developed for vermin control, ratting, and farm work. Ancestor to the Doberman Pinscher and Miniature Pinscher. Nearly faced extinction after World War II but was revived by Werner Jung in West Germany in the late 1950s. Recognized by AKC in 2003.",114,https://cdn4.thedogapi.com/optimized/j1G4ppvAsp.jpg,17-20,25-45,12-14,43-51,11-20,German Pinscher,Germany,,2,"Alert, courageous, intelligent, energetic, confident, loyal"
,Herding,DE,DE,"Large, athletic working dog with erect ears, noble expression, and confident bearing. Known for high intelligence, loyalty, courage, and versatility in herding and working roles.","Developed in 1899 by Captain Max von Stephanitz to create the ideal herding dog, standardized from local shepherd dogs. Intelligence and trainability led to worldwide use in police and military roles.",115,https://cdn4.thedogapi.com/optimized/kc6oAx2b3X.jpg,Male: 24-26; Female: 22-24,Male: 65-90; Female: 50-70,9-13,Male: 61-66; Female: 56-61,Male: 29-41; Female: 23-32,German Shepherd,Germany,,2,"Confident, courageous, intelligent, loyal, protective"
,Sporting,DE,DE,"A versatile, athletic, and noble all-purpose hunting dog with a distinctive short, dense liver and white coat, known for its intelligence, energy, and friendly disposition","Developed in 19th-century Germany by crossing Spanish Pointers, Bloodhound, and local German hunting dogs to create a versatile pointer-retriever capable of working on land and water. Recognized by AKC in 1930.",116,https://cdn4.thedogapi.com/optimized/A7aYZ5fINU.jpg,Male: 23-25; Female: 21-23,Male: 55-70; Female: 45-60,10-12,Male: 58-64; Female: 53-58,Male: 25-32; Female: 20-27,German Shorthaired Pointer,Germany,,2,"Friendly, intelligent, energetic, eager to please, athletic"
,Working,DE,DE,"Large, powerful, and robust working dog with a dense wiry, weather-resistant coat, distinctive beard and eyebrows, and commanding, imposing presence. Originally bred for driving cattle and guarding in Germany.","Developed in Bavaria and Württemberg, Germany as a larger version of the Standard Schnauzer by crossing with larger breeds like the Great Dane. Originally used for driving cattle to market, guarding property, breweries and farms, and later as police and military working dogs.",119,https://cdn4.thedogapi.com/optimized/Ygv4UKHpCW.jpg,Male: 25.5-27.5; Female: 23.5-25.5,Male: 60-85; Female: 55-75,12-15,Male: 65-70; Female: 60-65,Male: 27-39; Female: 25-34,Giant Schnauzer,Germany,,2,"Loyal, intelligent, alert, energetic, courageous, confident"
,Terrier,IE,IE,"A strong, low-set working terrier of medium length with a sturdy, powerful build. Known for its harsh, weather-resistant double coat and courageous working temperament developed in the rugged Irish mountains.","Originated in the rugged Glen of Imaal valley as an all-around farm dog for hunting badgers and foxes, eradicating vermin, and historically used as turnspit dogs. Recognized by Irish Kennel Club in 1934 and AKC in 2004.",120,https://cdn4.thedogapi.com/optimized/lzq3JY4LXN.jpg,12.5-14,Male: 32-40; Female: 30-40,10-15,32-36,Male: 15-18; Female: 14-18,Glen of Imaal Terrier,"Glen of Imaal, County Wicklow, Ireland",,2,"Courageous, gentle, loyal, intelligent, spirited"
,Sporting,GB,GB,"Large, athletic sporting dog with a dense, lustrous, flowing golden coat and friendly disposition, known for their versatility as family companions and working dogs","Developed in the Scottish Highlands during the mid-to-late 19th century by Dudley Marjoribanks (Lord Tweedmouth), who crossed a yellow retriever with the now-extinct Tweed Water Spaniel, with later additions of Irish Setter and Bloodhound for hunting and retrieving in rugged terrain and cold water",121,https://cdn4.thedogapi.com/optimized/X9w40D9ojT.jpg,Male: 23-24; Female: 21.5-22.5,Male: 65-75; Female: 55-65,10-12,Male: 58-61; Female: 55-57,Male: 29-34; Female: 25-29,Golden Retriever,Scotland,,2,"Friendly, intelligent, devoted, confident, loyal, eager to please"
,Sporting,GB,GB,"Large, athletic bird dog with distinctive glistening black-and-tan coat. Built sturdily for work in rugged terrain, it is the heaviest and most substantial of the setter breeds, known for endurance and loyalty with an alert expression.",Developed in Scotland by Alexander the fourth Duke of Gordon in the late 18th and early 19th centuries from black and tan setters. Established as a durable one-man bird dog capable of working long days in rugged Scottish Highland terrain.,123,https://cdn4.thedogapi.com/optimized/GFuEqzH0Fq.jpg,Male: 24-27; Female: 23-26,Male: 55-80; Female: 45-70,12-13,Male: 61-69; Female: 58-66,Male: 25-36; Female: 20-32,Gordon Setter,Scotland,,2,"Confident, loyal, affectionate, intelligent, eager to please, alert"
,Working,DE,DE,"Giant, regal breed known as the 'Apollo of Dogs' with a powerful, well-muscled body, sleek coat, and dignified presence combined with noble bearing despite imposing size","Originally bred by German nobility from Mastiff-type dogs to hunt wild boar and deer, later refined as estate guardians and companions. Declared national dog of Germany in 1876 and standardized as 'Deutsche Dogge'",124,https://cdn4.thedogapi.com/optimized/MmjpsRG5IG.jpg,Male: 30-32; Female: 28-30,Male: 140-175; Female: 110-140,7-10,Male: 76-81; Female: 71-76,Male: 64-79; Female: 50-64,Great Dane,Germany,,2,"Friendly, gentle, confident, loyal, affectionate"
,Hound,GB,GB,"An ancient sighthound with tall, lean, elegant build designed for exceptional speed. Known for their gentle temperament and often described as a '45-mph couch potato', combining incredible athleticism with calm, affectionate nature.","Ancient sighthound breed dating back thousands of years, depicted in Egyptian, Greek, and Roman art. The modern Greyhound was standardized in Great Britain for coursing game and later racing. Famed as the fastest dog breed.",127,https://cdn4.thedogapi.com/optimized/fVVxWR2qse.jpg,Male: 28-30; Female: 27-28,Male: 65-70; Female: 60-65,10-13,Male: 71-76; Female: 68-71,Male: 29-32; Female: 27-29,Greyhound,Ancient Egypt/Middle East,,2,"Gentle, calm, intelligent, affectionate, independent"
,Hound,GB,GB,"Medium-sized athletic scent hound bred for pack hunting hare, resembling a smaller English Foxhound with sturdy build, short dense coat, and excellent stamina","Developed in medieval England for hare hunting in packs, documented since at least the 13th century. Likely descended from English Foxhound, Talbot Hounds, and other French hounds",129,https://cdn4.thedogapi.com/optimized/6H9mhrLwdk.jpg,19-21,45-60,12-15,48-53,20-27,Harrier,England,,2,"Friendly, outgoing, energetic, intelligent, gentle"
